Workload Date Time database rows tables Time_sec Run_loop Threads Cores vedbmID IP read_cnt write_cnt QPS min_lat avg_lat max_lat 95th_lat
r5226 wr 20231202 03:02:45 sbtest 5000 1 300 x1 1 1 sbtest 336470 134588 1794.30 5.83 8.91 118.06 11.04
r5245 ro 20231202 03:08:20 sbtest 5000 1 100 x1 1 1 sbtest 619780 0 6197.39 1.39 1.61 12.30 1.70
r5245 wo 20231202 03:10:00 sbtest 5000 1 100 x1 1 1 sbtest 0 53792 806.81 4.47 7.43 39.14 9.39
r5245 wr 20231202 03:11:40 sbtest 5000 1 100 x1 1 1 sbtest 110750 44300 1771.90 6.38 9.03 109.96 11.24
r5349 ro 20231202 03:15:29 sbtest 5000 10 100 x1 10 1 sbtest 606810 0 6066.83 1.50 16.48 57.74 17.63
r5349 wo 20231202 03:17:10 sbtest 5000 10 100 x1 10 1 sbtest 0 204608 3064.67 5.99 19.55 120.25 28.16
r5349 wr 20231202 03:18:50 sbtest 5000 10 100 x1 10 1 sbtest 287010 114801 4590.25 8.76 34.85 150.62 45.79
r5542 ro 20231202 03:25:01 sbtest 5000 40 100 x1 40 1 sbtest 584700 0 5842.89 1.66 68.43 1207.42 73.13
r5542 wo 20231202 03:26:42 sbtest 5000 40 100 x1 40 1 sbtest 0 265361 3976.02 10.73 60.31 242.62 78.60
r5542 wr 20231202 03:28:23 sbtest 5000 40 100 x1 40 1 sbtest 273980 109592 4375.47 31.39 146.10 348.12 164.45
r5954 ro 20231202 03:31:07 sbtest 5000 80 60 x1 80 1 sbtest 337670 0 5610.84 19.73 142.33 713.74 153.02
r5954 wo 20231202 03:32:08 sbtest 5000 80 60 x1 80 1 sbtest 0 9256 197.76 26.42 2363.03 40453.16 18075.36
r6652 ro 20231202 03:35:28 sbtest 5000 5 60 x1 5 1 sbtest 362090 0 6033.78 4.37 8.28 25.16 8.74
r6652 wo 20231202 03:36:29 sbtest 5000 5 60 x1 5 1 sbtest 0 89409 2232.99 5.69 13.42 109.03 19.29
r6652 wr 20231202 03:37:29 sbtest 5000 5 60 x1 5 1 sbtest 143460 57382 3819.30 8.13 20.91 85.86 27.66
r6692 ro 20231202 03:40:06 sbtest 5000 1 30 x1 1 1 sbtest 187500 0 6248.82 1.43 1.60 11.56 1.67
r6692 wo 20231202 03:40:36 sbtest 5000 1 30 x1 1 1 sbtest 0 15824 790.37 4.87 7.58 19.47 9.56
r6692 wr 20231202 03:41:06 sbtest 5000 1 30 x1 1 1 sbtest 33410 13364 1772.56 6.36 8.98 42.69 11.24
r6692 ro 20231202 03:41:36 sbtest 5000 2 30 x2 2 1 sbtest 183780 0 6124.42 1.64 3.26 20.54 3.49
r6692 wo 20231202 03:42:07 sbtest 5000 2 30 x2 2 1 sbtest 0 25568 1276.12 5.21 9.39 35.31 13.22
r6692 wr 20231202 03:42:37 sbtest 5000 2 30 x2 2 1 sbtest 47610 19042 2535.49 6.99 12.60 58.42 17.63
r6692 ro 20231202 03:43:07 sbtest 5000 3 30 x3 3 1 sbtest 181350 0 6043.16 2.52 4.96 9.75 5.28
r6692 wo 20231202 03:43:38 sbtest 5000 3 30 x3 3 1 sbtest 0 32292 1607.03 5.79 11.15 59.00 16.12
r6692 wr 20231202 03:44:08 sbtest 5000 3 30 x3 3 1 sbtest 59870 23948 3188.88 6.50 15.03 60.69 20.37
r6692 ro 20231202 03:44:38 sbtest 5000 4 30 x4 4 1 sbtest 178620 0 5952.03 2.13 6.72 17.98 7.17
r6692 wo 20231202 03:45:08 sbtest 5000 4 30 x4 4 1 sbtest 0 38528 1921.73 5.94 12.46 149.52 18.61
r6692 wr 20231202 03:45:39 sbtest 5000 4 30 x4 4 1 sbtest 67490 26996 3594.65 7.13 17.78 66.62 23.52
r6692 ro 20231202 03:46:09 sbtest 5000 5 30 x5 5 1 sbtest 176790 0 5890.89 2.59 8.48 24.94 9.22
r6692 wo 20231202 03:46:39 sbtest 5000 5 30 x5 5 1 sbtest 0 44724 2232.34 6.75 13.41 64.99 19.29
r6692 wr 20231202 03:47:09 sbtest 5000 5 30 x5 5 1 sbtest 71810 28721 3824.83 7.85 20.89 71.47 27.17
r6692 ro 20231202 03:47:39 sbtest 5000 6 30 x6 6 1 sbtest 175180 0 5836.26 3.88 10.27 84.50 11.45
r6692 wo 20231202 03:48:10 sbtest 5000 6 30 x6 6 1 sbtest 0 48352 2413.07 6.59 14.89 49.38 21.50
r6692 wr 20231202 03:48:40 sbtest 5000 6 30 x6 6 1 sbtest 75620 30248 4024.80 9.41 23.81 78.80 30.81
r6692 ro 20231202 03:49:10 sbtest 5000 7 30 x7 7 1 sbtest 180570 0 6016.39 3.67 11.63 26.70 12.52
r6692 wo 20231202 03:49:40 sbtest 5000 7 30 x7 7 1 sbtest 0 52993 2645.38 5.57 15.85 144.48 22.69
r6692 wr 20231202 03:50:11 sbtest 5000 7 30 x7 7 1 sbtest 79890 31956 4252.77 8.66 26.30 84.98 34.33
r6692 ro 20231202 03:50:41 sbtest 5000 8 30 x8 8 1 sbtest 177830 0 5924.66 9.65 13.50 66.16 14.73
r6692 wo 20231202 03:51:11 sbtest 5000 8 30 x8 8 1 sbtest 0 55916 2789.21 6.83 17.18 59.34 24.38
r6692 wr 20231202 03:51:41 sbtest 5000 8 30 x8 8 1 sbtest 81650 32660 4344.76 10.50 29.42 115.33 38.25
r6692 ro 20231202 03:52:12 sbtest 5000 9 30 x9 9 1 sbtest 177900 0 5926.93 4.37 15.18 28.21 16.41
r6692 wo 20231202 03:52:42 sbtest 5000 9 30 x9 9 1 sbtest 0 59018 2945.89 6.15 18.30 118.97 27.17
r6692 wr 20231202 03:53:12 sbtest 5000 9 30 x9 9 1 sbtest 84680 33872 4508.68 9.15 31.90 77.27 41.10
r6692 ro 20231202 03:53:43 sbtest 5000 10 30 x10 10 1 sbtest 176850 0 5891.36 5.41 16.96 82.43 18.61
r6692 wo 20231202 03:54:13 sbtest 5000 10 30 x10 10 1 sbtest 0 61844 3081.53 6.90 19.41 86.59 27.17
r6692 wr 20231202 03:54:43 sbtest 5000 10 30 x10 10 1 sbtest 85990 34396 4577.82 9.63 34.92 89.84 44.98
r6692 ro 20231202 03:55:14 sbtest 5000 11 30 x11 11 1 sbtest 176120 0 5866.45 7.72 18.74 113.97 20.37
r6692 wo 20231202 03:55:44 sbtest 5000 11 30 x11 11 1 sbtest 0 63292 3157.39 6.81 20.86 149.71 30.26
r6692 wr 20231202 03:56:14 sbtest 5000 11 30 x11 11 1 sbtest 86520 34608 4605.02 11.04 38.17 105.32 51.02
r6692 ro 20231202 03:56:44 sbtest 5000 12 30 x12 12 1 sbtest 176550 0 5880.42 6.21 20.40 51.14 22.69
r6692 wo 20231202 03:57:15 sbtest 5000 12 30 x12 12 1 sbtest 0 68220 3403.75 6.19 21.11 72.84 29.19
r6692 wr 20231202 03:57:45 sbtest 5000 12 30 x12 12 1 sbtest 85040 34016 4527.48 9.16 42.35 166.38 58.92
r6692 ro 20231202 03:58:15 sbtest 5000 13 30 x13 13 1 sbtest 174820 0 5823.82 6.25 22.31 61.82 24.38
r6692 wo 20231202 03:58:46 sbtest 5000 13 30 x13 13 1 sbtest 0 68296 3406.69 7.08 22.84 142.81 31.94
r6692 wr 20231202 03:59:16 sbtest 5000 13 30 x13 13 1 sbtest 89140 35656 4744.51 10.87 43.79 113.89 55.82
r6692 ro 20231202 03:59:46 sbtest 5000 14 30 x14 14 1 sbtest 176380 0 5874.26 7.25 23.82 79.03 26.20
r6692 wo 20231202 04:00:17 sbtest 5000 14 30 x14 14 1 sbtest 0 70428 3508.31 6.20 23.86 123.61 33.72
r6692 wr 20231202 04:00:47 sbtest 5000 14 30 x14 14 1 sbtest 88920 35566 4720.03 9.55 47.29 124.43 61.08
r6692 ro 20231202 04:01:18 sbtest 5000 15 30 x15 15 1 sbtest 175890 0 5857.51 9.85 25.59 158.97 27.66
r6692 wo 20231202 04:01:48 sbtest 5000 15 30 x15 15 1 sbtest 0 70260 3505.59 7.11 25.63 162.13 35.59
r6692 wr 20231202 04:02:19 sbtest 5000 15 30 x15 15 1 sbtest 88370 35348 4701.04 9.97 50.99 148.06 65.65
r6692 ro 20231202 04:02:49 sbtest 5000 16 30 x16 16 1 sbtest 174400 0 5808.19 11.69 27.53 205.21 30.26
r6692 wo 20231202 04:03:19 sbtest 5000 16 30 x16 16 1 sbtest 0 73732 3676.87 7.31 26.05 89.48 35.59
r6692 wr 20231202 04:03:50 sbtest 5000 16 30 x16 16 1 sbtest 86670 34668 4611.12 13.14 55.44 141.17 70.55
r6692 ro 20231202 04:04:20 sbtest 5000 17 30 x17 17 1 sbtest 176330 0 5871.78 7.64 28.93 76.08 31.37
r6692 wo 20231202 04:04:51 sbtest 5000 17 30 x17 17 1 sbtest 0 76980 3838.78 6.42 26.50 77.12 36.24
r6692 wr 20231202 04:05:21 sbtest 5000 17 30 x17 17 1 sbtest 86860 34744 4622.26 15.25 58.77 257.63 69.29
r6692 ro 20231202 04:05:51 sbtest 5000 18 30 x18 18 1 sbtest 175410 0 5837.05 16.08 30.81 93.93 33.12
r6692 wo 20231202 04:06:22 sbtest 5000 18 30 x18 18 1 sbtest 0 75492 3762.42 7.37 28.62 144.37 39.65
r6692 wr 20231202 04:06:52 sbtest 5000 18 30 x18 18 1 sbtest 90110 36041 4793.38 11.63 59.98 379.56 75.82
r6692 ro 20231202 04:07:23 sbtest 5000 19 30 x19 19 1 sbtest 35300 0 1140.98 17.21 163.76 1920.66 520.62
r6692 wo 20231202 04:07:55 sbtest 5000 19 30 x19 19 1 sbtest 0 6024 297.70 56.30 381.04 1919.73 707.07
r6692 wr 20231202 04:08:33 sbtest 5000 19 30 x19 19 1 sbtest 6450 2580 324.07 98.23 914.41 3402.09 1648.20
r6692 ro 20231202 04:09:08 sbtest 5000 20 30 x20 20 1 sbtest 13930 0 458.65 81.34 432.91 1356.82 759.88
r6692 wo 20231202 04:09:41 sbtest 5000 20 30 x20 20 1 sbtest 0 22972 1147.63 10.31 104.49 1162.78 442.73
